id;alevel;imgidx;uadd;ubirth_0;ubirth_1;ubirth_2;uemail_0;uemail_1;uhp;ujob;ukname
1;7;49198;Nebraska;2011;10;4;connect Washington;mindshare Technician HDD;Games Gorgeous Concrete Sausages;Pizza quantifying Mountain;pixel
2;8;37882;CFA Franc BCEAO;1990;11;31;cultivate New Jersey;matrix Kentucky Table;Tenge;challenge;monetize interface connecting
3;7;62135;connecting hacking program;1995;7;29;systems;bypassing Buckinghamshire;navigating;Specialist;calculate
4;8;76573;Borders Configuration 24/365;1953;6;1;bypass;California Cook Islands;Central generating;portals hacking Madagascar;digital
5;8;14343;Consultant SMS New Jersey;1904;2;27;compressing;architectures payment Nepalese Rupee;Djibouti Franc invoice;Berkshire;Rwanda Cape Metical
6;7;84121;Clothing circuit;1931;3;29;Awesome Tasty;connecting;Usability calculate;Kiribati Checking Account;analyzing District networks
7;7;99259;Liechtenstein withdrawal Licensed;1971;11;13;Causeway;Mauritania Computers;multi-byte Malagasy Ariary Reactive;port eyeballs hacking;Usability Senior Cote d'Ivoire
8;7;7755;analyzing;1935;6;12;black solution-oriented;Shoes hard drive Personal Loan Account;Saudi Riyal;Fresh teal;Borders Refined
9;7;81059;radical;1948;12;1;Cambridgeshire Granite demand-driven;magnetic;circuit Cambridgeshire;Fish Data Saint Vincent and the Grenadines;invoice Mississippi TCP
10;8;8791;input Universal Chair;1949;7;18;driver Home Loan Account Associate;Producer Enterprise-wide content;Estates USB array;Auto Loan Account Specialist;HDD Bahraini Dinar composite
